"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/31/2017","Target Retirement 2050","Target Retirement 2050","454.21","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"4/28/2017","Target Retirement 2050","Target Retirement 2050","522.34","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"3/31/2017","Target Retirement 2050","Target Retirement 2050","522.34","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"2/28/2017","Target Retirement 2050","Target Retirement 2050","522.34","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"1/31/2017","Target Retirement 2050","Target Retirement 2050","522.34","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"12/29/2016","Target Retirement 2050","Target Retirement 2050","522.34","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"12/28/2016","Target Retirement 2050","Target Retirement 2050","204.14","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"11/30/2016","Target Retirement 2050","Target Retirement 2050","482.70","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"9/30/2016","Target Retirement 2050","Target Retirement 2050","482.70","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"8/31/2016","Target Retirement 2050","Target Retirement 2050","468.65","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"7/29/2016","Target Retirement 2050","Target Retirement 2050","612.85","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"6/30/2016","Target Retirement 2050","Target Retirement 2050","612.85","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"5/31/2016","Target Retirement 2050","Target Retirement 2050","612.85","credit","Investments","EMORY UNIVERSITY RETIREMENT PLAN","",""
"4/29/2016","Plan Contribution - Target Retirement 2050","Plan Contribution - Target Retirement 2050","612.85","credit","Deposit","EMORY UNIVERSITY RETIREMENT PLAN","",""
"3/31/2016","Plan Contribution - Target Retirement 2050","Plan Contribution - Target Retirement 2050","612.85","credit","Deposit","EMORY UNIVERSITY RETIREMENT PLAN","",""
"2/29/2016","Plan Contribution - Target Retirement 2050","Plan Contribution - Target Retirement 2050","865.20","credit","Deposit","EMORY UNIVERSITY RETIREMENT PLAN","",""
"1/29/2016","Plan Contribution - Target Retirement 2050","Plan Contribution - Target Retirement 2050","865.20","credit","Deposit","EMORY UNIVERSITY RETIREMENT PLAN","",""
